timeStamp,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
30-10-2025 13:18:01,29.682,30.43,165,1012,55,st_actOFF,st_washNO
30-10-2025 13:18:03,29.682,19.397,160,1012,37,st_actOFF,st_washNO
30-10-2025 13:18:05,185.011,6.885,164,2860,46,st_actOFF,st_washNO
30-10-2025 13:18:07,12.393,400,140,1453,34,st_actOFF,st_washNO
30-10-2025 13:18:09,12.019,7.548,139,716,21,st_actON,st_washYES
30-10-2025 13:18:11,12.376,400,141,807,44,st_actOFF,st_washNO
30-10-2025 13:18:13,12.359,7.208,173,802,35,st_actON,st_washYES
30-10-2025 13:18:15,12.376,400,113,724,20,st_actOFF,st_washNO
30-10-2025 13:18:17,12.393,400,83,673,97,st_actOFF,st_washNO
30-10-2025 13:18:19,12.716,7.548,112,761,49,st_actON,st_washYES
30-10-2025 13:18:21,13.09,7.548,134,720,31,st_actON,st_washYES
30-10-2025 13:18:23,11.679,7.854,157,810,45,st_actON,st_washYES
30-10-2025 13:18:25,13.413,6.562,165,983,29,st_actON,st_washYES
30-10-2025 13:18:27,6.647,7.854,99,742,25,st_actON,st_washYES
30-10-2025 13:18:29,37.502,9.894,127,795,34,st_actOFF,st_washNO
30-10-2025 13:18:31,5.355,5.933,137,725,34,st_actON,st_washYES
30-10-2025 13:18:33,14.467,400,177,760,57,st_actOFF,st_washNO
30-10-2025 13:18:35,14.467,6.885,126,765,41,st_actON,st_washYES
30-10-2025 13:18:37,12.733,6.256,96,718,23,st_actON,st_washYES
30-10-2025 13:18:40,14.467,7.854,201,793,34,st_actON,st_washYES
30-10-2025 13:18:42,144.806,69.649,184,759,14,st_actOFF,st_washNO
30-10-2025 13:18:44,185.827,138.125,126,709,41,st_actOFF,st_washNO
30-10-2025 13:18:46,185.062,139.4,193,874,19,st_actOFF,st_washNO
30-10-2025 13:18:48,186.235,138.533,150,760,34,st_actOFF,st_washNO
30-10-2025 13:18:50,184.909,400,93,912,21,st_actOFF,st_washNO
30-10-2025 13:18:52,185.402,58.242,123,692,24,st_actOFF,st_washNO
30-10-2025 13:18:54,185.011,8.194,167,742,35,st_actOFF,st_washNO
30-10-2025 13:18:56,184.977,50.014,132,741,38,st_actOFF,st_washNO
30-10-2025 13:18:58,184.569,9.554,191,821,50,st_actOFF,st_washNO
30-10-2025 13:19:00,185.351,8.517,143,775,65,st_actOFF,st_washNO
30-10-2025 13:19:02,184.943,9.214,200,841,39,st_actOFF,st_washNO
30-10-2025 13:19:04,185.776,217.413,163,879,46,st_actOFF,st_washNO
30-10-2025 13:19:06,186.235,36.312,210,1012,21,st_actOFF,st_washNO
30-10-2025 13:19:08,185.436,9.197,189,926,136,st_actOFF,st_washNO
30-10-2025 13:19:10,185.453,7.871,166,783,15,st_actOFF,st_washNO
30-10-2025 13:19:12,185.81,8.194,221,824,37,st_actOFF,st_washNO
30-10-2025 13:19:14,185.351,138.057,141,943,18,st_actOFF,st_washNO
30-10-2025 13:19:16,143.055,138.924,131,874,22,st_actOFF,st_washNO
30-10-2025 13:19:18,155.737,69.853,147,809,53,st_actOFF,st_washNO
30-10-2025 13:19:20,184.569,138.057,167,790,26,st_actOFF,st_washNO
30-10-2025 13:19:22,153.323,138.04,171,749,39,st_actOFF,st_washNO
30-10-2025 13:19:24,184.569,138.533,124,724,24,st_actOFF,st_washNO
30-10-2025 13:19:27,184.229,137.7,158,755,79,st_actOFF,st_washNO
30-10-2025 13:19:29,146.489,137.734,148,771,17,st_actOFF,st_washNO
30-10-2025 13:19:31,9.605,400,181,738,30,st_actOFF,st_washNO
30-10-2025 13:19:33,6.97,26.979,151,714,35,st_actOFF,st_washNO
30-10-2025 13:19:35,184.909,11.271,147,732,33,st_actOFF,st_washNO
30-10-2025 13:19:37,13.787,400,134,726,19,st_actOFF,st_washNO
30-10-2025 13:19:39,7.599,13.566,155,844,29,st_actON,st_washYES
30-10-2025 13:19:41,70.703,29.665,161,695,27,st_actOFF,st_washNO
30-10-2025 13:19:43,89.675,56.559,115,732,37,st_actOFF,st_washNO
30-10-2025 13:19:45,50.371,56.542,158,750,20,st_actOFF,st_washNO
30-10-2025 13:19:47,184.093,138.057,113,706,29,st_actOFF,st_washNO
30-10-2025 13:19:49,183.702,137.666,137,721,25,st_actOFF,st_washNO
30-10-2025 13:19:51,9.962,35.938,150,800,25,st_actOFF,st_washNO
30-10-2025 13:19:53,9.962,12.988,175,815,23,st_actON,st_washYES
30-10-2025 13:19:55,50.184,60.486,134,727,25,st_actOFF,st_washNO
30-10-2025 13:19:57,142.324,56.423,97,819,30,st_actOFF,st_washNO
30-10-2025 13:19:59,142.8,137.683,142,838,72,st_actOFF,st_washNO
30-10-2025 13:20:01,67.201,61.2,160,727,20,st_actOFF,st_washNO
30-10-2025 13:20:03,143.548,137.632,97,827,28,st_actOFF,st_washNO
30-10-2025 13:20:05,142.681,17.085,113,675,33,st_actOFF,st_washNO
30-10-2025 13:20:07,11.696,29.92,124,855,40,st_actOFF,st_washNO
30-10-2025 13:20:09,12.393,30.226,134,817,99,st_actOFF,st_washNO
30-10-2025 13:20:11,12.376,40.035,160,910,15,st_actOFF,st_washNO
30-10-2025 13:20:13,56.44,58.531,102,717,32,st_actOFF,st_washNO
30-10-2025 13:20:16,56.423,58.531,162,754,29,st_actOFF,st_washNO
30-10-2025 13:20:18,56.44,48.331,119,727,36,st_actOFF,st_washNO
30-10-2025 13:20:20,70.516,50.014,163,835,31,st_actOFF,st_washNO
30-10-2025 13:20:22,42.772,102,147,873,38,st_actOFF,st_washNO
30-10-2025 13:20:24,38.42,107.134,172,836,23,st_actOFF,st_washNO
30-10-2025 13:20:26,38.403,60.775,117,810,9,st_actOFF,st_washNO
30-10-2025 13:20:28,185.181,138.431,149,804,23,st_actOFF,st_washNO
30-10-2025 13:20:30,141.61,137.615,166,725,32,st_actOFF,st_washNO
30-10-2025 13:20:32,142.052,137.683,144,884,41,st_actOFF,st_washNO
30-10-2025 13:20:34,142.018,137.683,172,807,28,st_actOFF,st_washNO
30-10-2025 13:20:36,155.516,138.159,493,924,31,st_actOFF,st_washNO
30-10-2025 13:20:38,142.239,138.159,177,1071,28,st_actOFF,st_washNO
30-10-2025 13:20:40,184.841,400,155,953,33,st_actOFF,st_washNO
30-10-2025 13:20:42,6.63,10.608,129,799,10,st_actON,st_washYES
30-10-2025 13:20:44,184.314,7.395,132,868,32,st_actOFF,st_washNO
30-10-2025 13:20:46,184.314,7.395,132,868,26,st_actOFF,st_washNO
30-10-2025 13:20:48,184.314,7.395,132,868,26,st_actOFF,st_washNO
30-10-2025 13:20:50,217.804,37.009,162,3614,28,st_actOFF,st_washNO
30-10-2025 13:20:52,184.79,43.945,128,1226,21,st_actOFF,st_washNO
30-10-2025 13:20:54,36.839,11.288,139,1009,29,st_actOFF,st_washNO
30-10-2025 13:20:56,38.199,12.665,105,806,23,st_actOFF,st_washNO
30-10-2025 13:20:58,37.74,11.985,142,794,22,st_actOFF,st_washNO
30-10-2025 13:21:00,185.198,8.5,185,794,11,st_actOFF,st_washNO
30-10-2025 13:21:02,5.678,9.554,112,852,28,st_actON,st_washYES
30-10-2025 13:21:04,6.63,25.908,149,717,28,st_actOFF,st_washNO
30-10-2025 13:21:06,6.647,9.537,119,781,10,st_actON,st_washYES
30-10-2025 13:21:08,7.276,10.591,156,901,17,st_actON,st_washYES
30-10-2025 13:21:10,6.953,23.579,104,699,31,st_actOFF,st_washNO
30-10-2025 13:21:12,49.878,29.665,158,809,40,st_actOFF,st_washNO
30-10-2025 13:21:15,56.712,88.808,145,937,40,st_actOFF,st_washNO
30-10-2025 13:21:17,20.621,70.703,88,870,13,st_actOFF,st_washNO
30-10-2025 13:21:19,56.576,25.653,109,762,13,st_actOFF,st_washNO
30-10-2025 13:21:21,21.896,52.717,93,770,13,st_actOFF,st_washNO
30-10-2025 13:21:23,56.423,29.903,106,708,8,st_actOFF,st_washNO
30-10-2025 13:21:25,183.464,17.578,141,800,11,st_actOFF,st_washNO
30-10-2025 13:21:27,27.727,14.45,81,696,7,st_actOFF,st_washNO
30-10-2025 13:21:29,60.265,84.286,85,700,7,st_actOFF,st_washNO
30-10-2025 13:21:31,56.44,88.281,86,652,7,st_actOFF,st_washNO
30-10-2025 13:21:33,184.399,138.55,84,770,6,st_actOFF,st_washNO
30-10-2025 13:21:35,184.025,17.714,86,822,7,st_actOFF,st_washNO
30-10-2025 13:21:37,56.44,17.714,81,706,6,st_actOFF,st_washNO
30-10-2025 13:21:39,34.085,67.524,86,698,7,st_actOFF,st_washNO
30-10-2025 13:21:41,185.963,137.955,87,810,9,st_actOFF,st_washNO
30-10-2025 13:21:43,185.181,138.839,85,840,8,st_actOFF,st_washNO
30-10-2025 13:21:45,184.722,138.839,87,710,8,st_actOFF,st_washNO
30-10-2025 13:21:47,184.722,137.139,86,652,9,st_actOFF,st_washNO
30-10-2025 13:21:49,185.997,137.513,86,757,7,st_actOFF,st_washNO
30-10-2025 13:21:51,185.606,137.564,83,728,10,st_actOFF,st_washNO
30-10-2025 13:21:53,218.535,137.53,110,703,18,st_actOFF,st_washNO
30-10-2025 13:21:55,185.623,137.037,148,823,25,st_actOFF,st_washNO
30-10-2025 13:21:57,185.181,137.581,69,698,17,st_actOFF,st_washNO
30-10-2025 13:21:59,183.94,137.53,112,823,11,st_actOFF,st_washNO
30-10-2025 13:22:01,184.297,137.581,135,779,8,st_actOFF,st_washNO
30-10-2025 13:22:03,23.103,77.758,81,769,6,st_actOFF,st_washNO
30-10-2025 13:22:05,4.386,5.287,84,695,7,st_actON,st_washYES
30-10-2025 13:22:07,5.032,5.814,101,819,5,st_actON,st_washYES
30-10-2025 13:22:09,4.709,25.823,84,663,6,st_actOFF,st_washNO
30-10-2025 13:22:11,185.606,138.414,105,683,16,st_actOFF,st_washNO
30-10-2025 13:22:13,184.773,138.057,126,750,30,st_actOFF,st_washNO
30-10-2025 13:22:15,185.623,137.598,162,713,20,st_actOFF,st_washNO
30-10-2025 13:22:17,184.807,138.057,140,867,25,st_actOFF,st_washNO
30-10-2025 13:22:19,172.737,138.057,109,763,8,st_actOFF,st_washNO
30-10-2025 13:22:21,185.164,137.683,118,700,10,st_actOFF,st_washNO
30-10-2025 13:22:23,185.181,138.499,135,702,12,st_actOFF,st_washNO
30-10-2025 13:22:25,185.147,138.023,94,760,18,st_actOFF,st_washNO
30-10-2025 13:22:27,185.997,138.499,132,804,13,st_actOFF,st_washNO
30-10-2025 13:22:29,185.198,138.057,97,742,28,st_actOFF,st_washNO
30-10-2025 13:22:31,185.181,137.683,136,796,21,st_actOFF,st_washNO
30-10-2025 13:22:33,185.64,137.598,132,788,21,st_actOFF,st_washNO
30-10-2025 13:22:35,185.147,136.799,113,738,24,st_actOFF,st_washNO
30-10-2025 13:22:37,184.331,137.088,116,690,12,st_actOFF,st_washNO
30-10-2025 13:22:39,184.756,34.051,144,795,22,st_actOFF,st_washNO
30-10-2025 13:22:41,184.654,137.632,129,809,17,st_actOFF,st_washNO
30-10-2025 13:22:43,184.314,116.739,146,819,14,st_actOFF,st_washNO
30-10-2025 13:22:45,185.555,5.287,101,705,58,st_actOFF,st_washNO
30-10-2025 13:22:47,192.372,4.318,136,691,19,st_actOFF,st_washNO
30-10-2025 13:22:50,400,4.318,145,825,14,st_actOFF,st_washNO
30-10-2025 13:22:52,184.28,6.562,118,695,30,st_actOFF,st_washNO
30-10-2025 13:22:54,183.923,5.287,116,716,9,st_actOFF,st_washNO
30-10-2025 13:22:56,142.851,15.113,121,921,20,st_actOFF,st_washNO
30-10-2025 13:22:58,185.538,5.287,128,1012,9,st_actOFF,st_washNO
30-10-2025 13:23:00,184.671,5.287,147,912,29,st_actOFF,st_washNO
