timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-12-05:15-01-38,2025-12-05:15-01-37,2025-12-05:15-01-35,37.434,33.252,139,314,7,st_actOFF,st_washNO
2025-12-05:15-01-40,2025-12-05:15-01-39,2025-12-05:15-01-37,29.41,32.47,110,241,12,st_actOFF,st_washNO
2025-12-05:15-01-42,2025-12-05:15-01-40,2025-12-05:15-01-38,37.332,33.762,139,349,21,st_actOFF,st_washNO
2025-12-05:15-01-44,2025-12-05:15-01-40,2025-12-05:15-01-38,37.332,33.762,139,349,6,st_actOFF,st_washNO
2025-12-05:15-01-46,2025-12-05:15-01-46,2025-12-05:15-01-44,72.148,32.47,83,286,6,st_actOFF,st_washNO
2025-12-05:15-01-48,2025-12-05:15-01-47,2025-12-05:15-01-45,61.421,33.762,85,189,17,st_actOFF,st_washNO
2025-12-05:15-01-50,2025-12-05:15-01-49,2025-12-05:15-01-47,58.973,33.235,122,225,7,st_actOFF,st_washNO
2025-12-05:15-01-52,2025-12-05:15-01-51,2025-12-05:15-01-49,61.37,33.252,94,193,17,st_actOFF,st_washNO
2025-12-05:15-01-54,2025-12-05:15-01-53,2025-12-05:15-01-51,60.843,33.252,89,181,5,st_actOFF,st_washNO
2025-12-05:15-01-56,2025-12-05:15-01-56,2025-12-05:15-01-54,72.216,33.252,94,199,5,st_actOFF,st_washNO
2025-12-05:15-01-58,2025-12-05:15-01-57,2025-12-05:15-01-55,72.352,33.762,104,209,11,st_actOFF,st_washNO
2025-12-05:15-02-00,2025-12-05:15-02-00,2025-12-05:15-01-58,60.486,33.235,103,205,8,st_actOFF,st_washNO
2025-12-05:15-02-02,2025-12-05:15-02-01,2025-12-05:15-01-59,18.054,33.252,128,219,18,st_actOFF,st_washNO
2025-12-05:15-02-04,2025-12-05:15-02-03,2025-12-05:15-02-01,19.312,33.252,111,209,12,st_actOFF,st_washNO
2025-12-05:15-02-06,2025-12-05:15-02-06,2025-12-05:15-02-04,48.042,33.252,105,210,13,st_actOFF,st_washNO
2025-12-05:15-02-08,2025-12-05:15-02-07,2025-12-05:15-02-05,61.047,33.235,100,202,20,st_actOFF,st_washNO
2025-12-05:15-02-10,2025-12-05:15-02-10,2025-12-05:15-02-08,59.721,33.252,113,217,17,st_actOFF,st_washNO
2025-12-05:15-02-12,2025-12-05:15-02-11,2025-12-05:15-02-09,37.961,33.252,111,214,4,st_actOFF,st_washNO
2025-12-05:15-02-14,2025-12-05:15-02-13,2025-12-05:15-02-11,37.502,33.235,100,201,47,st_actOFF,st_washNO
2025-12-05:15-02-16,2025-12-05:15-02-16,2025-12-05:15-02-14,38.42,31.96,120,225,10,st_actOFF,st_washNO
2025-12-05:15-02-18,2025-12-05:15-02-17,2025-12-05:15-02-16,34.595,33.252,113,221,11,st_actOFF,st_washNO
2025-12-05:15-02-20,2025-12-05:15-02-20,2025-12-05:15-02-19,18.054,33.235,105,210,13,st_actOFF,st_washNO
2025-12-05:15-02-22,2025-12-05:15-02-22,2025-12-05:15-02-20,60.639,33.252,96,198,20,st_actOFF,st_washNO
2025-12-05:15-02-24,2025-12-05:15-02-23,2025-12-05:15-02-22,61.166,33.235,113,211,11,st_actOFF,st_washNO
2025-12-05:15-02-26,2025-12-05:15-02-26,2025-12-05:15-02-24,60.435,32.487,80,180,21,st_actOFF,st_washNO
2025-12-05:15-02-28,2025-12-05:15-02-27,2025-12-05:15-02-26,49.827,33.252,91,197,5,st_actOFF,st_washNO
2025-12-05:15-02-30,2025-12-05:15-02-30,2025-12-05:15-02-29,37.961,33.235,110,209,13,st_actOFF,st_washNO
